Weighted Average Ticket Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Atlanta,13.3,13.4,16.2,16.3,18.7,18.7,$24.67 ,$28.07 ,$28.07 ,$27.00 ,$32.23 ,$31.49 ,$31.49 ,$32.15 ,$40.10 ,$40.42 ,$39.14 ,$29.78 ,$34.63 ,$43.71 ,$52.67 ,60.34,$65.52 ,63.95,74.23,68.22,68.91,76.78,83.71,78.58,$78.83,$78.83,104.08,104.08,104.08
Baltimore,,,,,,,,,,,,$35.68 ,$37.44 ,$42.93 ,$42.75 ,$42.75 ,$50.14 ,$50.14 ,$53.03 ,$53.03 ,$62.01 ,62.01,$77.20 ,77.2,86.92,86.92,86.92,91.92,100.19,100.19,$100.19,$112.11,115.11,115.11,103.59
Buffalo,12.7,12.7,14.3,15.5,20.3,23.1,$27.67 ,$28.71 ,$28.71 ,$33.46 ,$33.46 ,$33.46 ,$35.58 ,$35.58 ,$40.89 ,$46.06 ,$46.06 ,$37.61 ,$42.55 ,$37.13 ,$39.37 ,41.29,$46.46 ,51.24,51.25,59.19,59.19,58.36,57.75,62.01,$64.01,$88.18,68.16666667,69.53,71.08
Carolina,,,,,,,,,,,$37.92 ,$39.26 ,$55.47 ,$55.47 ,$55.45 ,$57.92 ,$60.30 ,$42.27 ,$42.27 ,$50.23 ,$54.86 ,60.44,$60.44 ,63.32,63.32,66.17,63.32,63.32,66.84,72.44,$78.82,$79.04,102.2659176,109.22,99.77
Chicago,14.5,16.4,16.4,21.4,23.3,23.3,$28.50 ,$27.63 ,$29.41 ,$32.23 ,$35.10 ,$38.18 ,$38.18 ,$38.18 ,$38.18 ,$42.70 ,$42.70 ,$51.42 ,$65.00 ,$65.56 ,$68.89 ,77.78,$84.89 ,88.33,88.34,93.55,101.55,110.91,103.6,108.44,$108.44,$131.90,111.19,111.19,124.51
Cincinatti,13.8,15.7,18,18,20.9,23.8,$25.63 ,$24.78 ,$24.78 ,$28.43 ,$31.99 ,$34.09 ,$34.09 ,$37.77 ,$37.77 ,$56.21 ,$56.21 ,$47.31 ,$47.28 ,$52.13 ,$55.72 ,60.85,$65.85 ,69.85,69.87,72.04,72.04,69.01,68.96,71.26,$71.12,$74.13,83.24799,78.61,77.41
Cleveland,14.8,17.5,17.5,21.3,21.3,23.7,$22.00 ,$26.24 ,$27.27 ,$27.27 ,$32.61 ,,,,$44.66 ,$43.76 ,$45.00 ,$43.09 ,$45.71 ,$45.71 ,$48.79 ,48.79,$48.79 ,54.41,54.67,54.51,54.2,54.2,54.2,54.20,$69.13,$69.13,66.34,66.34,73.91
Dallas,18.3,18.3,23.5,23.5,23.3,22.8,$28.33 ,$26.71 ,$32.85 ,$32.85 ,$38.25 ,$38.25 ,$37.59 ,$43.48 ,$47.90 ,$47.90 ,$50.01 ,$50.00 ,$53.06 ,$53.06 ,$66.20 ,66.12,$84.12 ,84.12,110.20,$110.20 ,110.2,$110.20 ,$110.20 ,110.20,$110.20,$110.20,112.05,112.05,110.27
Denver,16.1,18.5,18.8,21.5,25.7,25.7,$24.67 ,$27.76 ,$27.76 ,$32.34 ,$33.06 ,$35.83 ,$35.83 ,$35.83 ,$46.40 ,$46.40 ,$77.41 ,$52.50 ,$57.28 ,$61.18 ,$63.94 ,68.55,$71.46 ,76.75,76.75,76.75,76.75,82.23,84.27,87.96,$87.96,$114.00,101.2278978,103.05,105.14
Detroit,10.9,13.9,13.9,13.9,16.4,18.5,$18.17 ,$25.00 ,$25.00 ,$29.10 ,$28.54 ,$33.70 ,$35.43 ,$35.79 ,$35.65 ,$39.05 ,$39.05 ,$50.23 ,$53.91 ,$56.63 ,$56.90 ,56.9,$59.09 ,66.39,65.68,62.4,62.4,67.6,67.6,72.98,$79.16,$85.71,88.18095238,92.59,92.88
Green Bay,13,14.9,14.9,14.9,19.3,21.2,$20.00 ,$25.13 ,$26.13 ,$26.13 ,$26.13 ,$30.61 ,$36.51 ,$36.51 ,$42.57 ,$48.46 ,$53.51 ,$50.73 ,$54.40 ,$54.40 ,$56.13 ,58.39,$63.39 ,63.39,63.42,72.36,75.65,78.84,82.61,85.61,$89.37,$94.47,101.1520302,107.12,122.68
Houston,14.6,14.6,14.6,18.4,20.3,22.1,$23.67 ,$29.45 ,$29.45 ,$31.46 ,$31.32 ,$31.33 ,,,,,,$50.99 ,$50.67 ,$56.17 ,$56.73 ,56.97,$62.41 ,66.69,68.79,73.4,73.4,78.77,88.98,88.98,$88.98,$94.73,103.828351,107.67,115.24
Indianapolis,18.5,18.5,18.5,21,21,25.4,$22.33 ,$26.48 ,$26.48 ,$26.48 ,$28.18 ,$31.76 ,$34.15 ,$34.15 ,$42.09 ,$46.98 ,$54.55 ,$46.77 ,$47.39 ,$54.35 ,$60.06 ,60.06,$70.98 ,81.13,82.77,85.34,85.34,85.34,86.32,86.32,$87.44,$87.44,93.62,93.62,93.62
Jacksonville,,,,,,,,,,,$36.59 ,$36.59 ,$54.24 ,$56.71 ,$56.71 ,$60.70 ,$62.85 ,$62.85 ,$62.85 ,$40.80 ,$40.16 ,45.08,$49.38 ,55.3,57.34,57.34,59.54,59.54,68.44,57.65,$57.65,$61.36,65.23381295,72.54,81.54
Kansas City,11.6,11.6,13.4,13.4,15.6,18,$20.33 ,$22.62 ,$27.03 ,$29.16 ,$31.22 ,$34.20 ,$38.02 ,$41.98 ,$41.69 ,$46.15 ,$52.18 ,$54.47 ,$58.40 ,$67.26 ,$66.49 ,67.33,$73.92 ,80.69,68.44,68.44,66.66,64.92,64.92,68.38,$68.38,$73.79,75.16144,73.76,83.4
LA Chargers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.77
LA Raiders,17.6,19.6,22.9,22.9,23.4,25,$23.33 ,$25.94 ,$31.32 ,$31.32 ,,,,,,,,,,,,,,,,,,,,,,,,,
LA Rams,19,19,19,22.7,22.7,23.9,$21.67 ,$27.67 ,$29.13 ,$29.13 ,,,,,,,,,,,,,,,,,,,,,,$72.71,109.2504931,110.78,118.09
Miami,17.7,19.1,24.5,24.5,24.5,25.1,$25.33 ,$28.42 ,$28.42 ,$29.65 ,$32.56 ,$35.33 ,$42.16 ,$42.16 ,$43.59 ,$45.10 ,$56.34 ,$45.83 ,$46.46 ,$48.51 ,$51.96 ,59.35,$66.11 ,66.11,66.74,70.54,70.32,71.14,71.14,65.16,$65.16,$98.25,79.96296296,86.36,84.51
Minnesota,12.9,12.9,15.5,17.2,19.8,19.8,$25.00 ,$25.00 ,$29.88 ,$29.79 ,$33.94 ,$36.95 ,$33.05 ,$35.74 ,$44.62 ,$48.28 ,$52.65 ,$56.37 ,$59.00 ,$61.63 ,$67.94 ,71.32,$70.91 ,73.23,73.20,75.69,75.69,75.69,78.69,88.53,$84.59,$91.67,91.65441176,99.72,103.98
New England,15.6,20.5,20.5,22.6,28.2,27.9,$29.67 ,$26.74 ,$28.48 ,$34.34 ,$34.22 ,$34.21 ,$39.45 ,$39.45 ,$39.45 ,$47.77 ,$47.77 ,$76.19 ,$75.33 ,$75.33 ,$90.89 ,$90.89 ,$90.89 ,117.84,117.84,117.84,117.84,117.84,117.84,122.00,$122.00,$130.73,127.04,127.04,127.04
New Orleans,15.3,15.3,15.3,18.2,20.3,22.9,$23.67 ,$24.07 ,$27.07 ,$26.71 ,$32.17 ,$34.84 ,$34.82 ,$34.47 ,$41.96 ,$45.56 ,$49.88 ,$46.32 ,$43.87 ,$42.36 ,$51.31 ,54.86,$54.86 ,62.22,62.23,74.99,74.99,74.99,74.99,84.87,$84.87,$91.25,81.87102634,90.14,97.72
NY Giants,13.5,13.5,17.2,17.2,22,21.8,$24.50 ,$28.74 ,$28.74 ,$35.59 ,$35.59 ,$35.59 ,$40.91 ,$40.91 ,$45.90 ,$45.90 ,$55.93 ,$56.47 ,$61.67 ,$66.67 ,$71.59 ,76.59,$81.29 ,88.06,88.64,111.69,111.69,111.69,111.69,111.69,$123.40,$123.40,115.31,115.31,115.31
NY Jets,14.2,16.1,18.9,18.9,21.3,21.1,$22.50 ,$25.00 ,$25.00 ,$25.00 ,$25.00 ,$25.33 ,$30.50 ,$35.92 ,$41.50 ,$51.48 ,$57.16 ,$57.20 ,$62.20 ,$66.39 ,$71.32 ,74.96,$80.70 ,86.99,86.98,114.64,$120.85 ,117.94,110.28,105.66,$105.66,$110.54,82.02090592,94.16,94.16
